0.000	1.981	6.167
1.000	2.008	6.186
2.000	1.952	6.189
3.000	1.934	6.200
4.000	1.935	6.205
5.000	1.937	6.214
6.000	1.981	6.221
7.000	1.975	6.228
8.000	1.934	6.245
9.000	1.936	6.255
10.000	1.947	6.254
11.000	1.966	6.253
12.000	1.934	6.274
13.000	1.935	6.281
14.000	1.966	6.291
15.000	1.971	6.305
16.000	1.934	6.323
17.000	1.934	6.330
18.000	1.966	6.337
19.000	1.952	6.339
20.000	1.998	6.360
21.000	1.952	6.407
22.000	1.938	6.419
23.000	1.938	6.421
24.000	1.935	6.412
25.000	1.936	6.420
26.000	1.938	6.422
27.000	1.955	6.433
28.000	1.978	6.441
29.000	1.936	6.457
30.000	1.937	6.466
31.000	1.949	6.469
32.000	1.997	6.478
33.000	1.935	6.493
34.000	1.937	6.510
35.000	1.949	6.512
36.000	1.820	6.513
37.000	1.937	6.518
38.000	1.935	6.507
39.000	1.974	6.523
40.000	1.968	6.531
41.000	1.940	6.566
42.000	1.989	6.572
43.000	1.969	6.578
44.000	1.951	6.589
45.000	1.950	6.611
46.000	1.939	6.606
47.000	1.927	6.616
48.000	1.940	6.618
49.000	1.937	6.630
50.000	1.937	6.633
51.000	1.952	6.644
52.000	1.954	6.651
53.000	1.962	6.667
54.000	1.937	6.678
55.000	2.014	6.686
56.000	1.986	6.691
57.000	1.938	6.778
58.000	1.938	6.752
59.000	1.952	6.745
60.000	1.938	6.745
61.000	1.951	6.763
62.000	1.951	6.768
63.000	1.942	6.784
64.000	1.936	6.785
65.000	1.939	6.792
66.000	1.930	6.796
67.000	1.939	6.804
68.000	1.952	6.809
69.000	1.938	6.822
70.000	1.976	6.832
71.000	1.926	6.840
72.000	1.938	6.857
73.000	1.941	6.861
74.000	1.975	6.863
75.000	1.957	6.877
76.000	1.845	6.893
77.000	1.938	6.894
78.000	1.956	6.875
79.000	1.956	6.893
80.000	1.939	6.915
81.000	1.939	6.930
82.000	1.936	6.928
83.000	1.938	6.939
84.000	1.942	6.942
85.000	1.939	6.955
86.000	1.937	6.964
87.000	1.938	6.971
88.000	1.938	6.972
89.000	1.946	6.989
90.000	2.013	6.997
91.000	1.954	7.019
92.000	1.974	7.047
93.000	1.930	7.045
94.000	1.956	7.058
95.000	1.950	7.057
96.000	1.938	7.066
97.000	1.939	7.072
98.000	1.972	7.077
99.000	1.929	7.082
100.000	1.958	7.100
101.000	1.940	7.105
102.000	1.939	7.120
103.000	1.939	7.123
104.000	1.967	7.122
105.000	1.941	7.134
106.000	1.939	7.148
107.000	1.963	7.148
108.000	1.955	7.168
109.000	1.938	7.180
110.000	1.933	7.192
111.000	1.955	7.182
112.000	1.981	7.188
113.000	2.008	7.210
114.000	2.018	7.235
115.000	1.950	7.261
116.000	1.985	7.293
117.000	1.939	7.301
118.000	1.954	7.305
119.000	1.953	7.295
120.000	1.941	7.294
121.000	1.940	7.304
122.000	1.973	7.299
123.000	1.939	7.309
124.000	1.940	7.324
125.000	1.991	7.322
0.000	1.930	6.455
1.000	1.956	6.470
2.000	1.937	6.440
3.000	1.820	6.454
4.000	1.935	6.452
