Index	V	I	R	T_coldhead	T_sample
0.000	0.006	0.002	3.179	4.278	243.462
1.000	0.006	0.002	3.180	4.277	243.462
2.000	0.006	0.002	3.144	4.277	243.458
3.000	0.006	0.002	3.143	4.277	243.458
4.000	0.006	0.002	3.176	4.277	243.453
5.000	0.006	0.002	3.134	4.277	243.453
6.000	0.006	0.002	3.142	4.277	243.448
7.000	0.006	0.002	3.162	4.276	243.448
8.000	0.006	0.002	3.153	4.276	243.444
9.000	0.006	0.002	3.136	4.276	243.444
10.000	0.006	0.002	3.139	4.276	243.437
11.000	0.006	0.002	3.116	4.276	243.437
12.000	0.006	0.002	3.134	4.276	243.433
13.000	0.006	0.002	3.140	4.277	243.433
14.000	0.006	0.002	3.144	4.277	243.432
15.000	0.006	0.002	3.143	4.277	243.432
16.000	0.006	0.002	3.140	4.277	243.429
17.000	0.006	0.002	3.161	4.278	243.429
18.000	0.006	0.002	3.139	4.278	243.425
19.000	0.006	0.002	3.130	4.278	243.425
20.000	0.006	0.002	3.145	4.278	243.420
21.000	0.006	0.002	3.131	4.277	243.420
22.000	0.006	0.002	3.135	4.277	243.416
23.000	0.006	0.002	3.141	4.277	243.416
24.000	0.006	0.002	3.134	4.277	243.413
25.000	0.006	0.002	3.136	4.277	243.413
26.000	0.006	0.002	3.138	4.277	243.407
27.000	0.006	0.002	3.144	4.276	243.407
28.000	0.006	0.002	3.139	4.276	243.400
29.000	0.006	0.002	3.140	4.276	243.400
30.000	0.006	0.002	3.161	4.276	243.397
31.000	0.006	0.002	3.135	4.276	243.397
32.000	0.006	0.002	3.151	4.276	243.397
33.000	0.006	0.002	3.173	4.277	243.397
34.000	0.006	0.002	3.122	4.277	243.392
35.000	0.006	0.002	3.152	4.277	243.392
36.000	0.006	0.002	3.148	4.277	243.387
37.000	0.006	0.002	3.168	4.278	243.387
38.000	0.006	0.002	3.157	4.278	243.386
39.000	0.006	0.002	3.169	4.278	243.386
40.000	0.006	0.002	3.196	4.278	243.382
41.000	0.006	0.002	3.154	4.277	243.382
42.000	0.006	0.002	3.147	4.277	243.380
43.000	0.006	0.002	3.163	4.277	243.380
44.000	0.006	0.002	3.155	4.277	243.377
45.000	0.006	0.002	3.164	4.277	243.377
46.000	0.006	0.002	3.161	4.277	243.370
47.000	0.006	0.002	3.175	4.277	243.370
48.000	0.006	0.002	3.166	4.277	243.366
49.000	0.006	0.002	3.167	4.276	243.366
50.000	0.006	0.002	3.160	4.276	243.362
51.000	0.006	0.002	3.128	4.276	243.362
52.000	0.006	0.002	3.148	4.276	243.356
53.000	0.006	0.002	3.145	4.277	243.356
54.000	0.006	0.002	3.154	4.277	243.355
55.000	0.006	0.002	3.154	4.277	243.355
56.000	0.006	0.002	3.148	4.277	243.352
57.000	0.006	0.002	3.140	4.278	243.352
58.000	0.006	0.002	3.134	4.278	243.346
59.000	0.006	0.002	3.121	4.278	243.346
60.000	0.006	0.002	3.158	4.278	243.342
61.000	0.006	0.002	3.161	4.277	243.342
62.000	0.006	0.002	3.135	4.277	243.338
63.000	0.006	0.002	3.121	4.277	243.338
64.000	0.006	0.002	3.127	4.277	243.335
65.000	0.006	0.002	3.133	4.277	243.335
66.000	0.006	0.002	3.142	4.277	243.331
67.000	0.006	0.002	3.137	4.276	243.331
68.000	0.006	0.002	3.160	4.276	243.327
69.000	0.006	0.002	3.129	4.276	243.327
70.000	0.006	0.002	3.121	4.276	243.325
71.000	0.006	0.002	3.142	4.276	243.325
72.000	0.006	0.002	3.127	4.276	243.318
73.000	0.006	0.002	3.148	4.277	243.318
74.000	0.006	0.002	3.125	4.277	243.313
75.000	0.006	0.002	3.134	4.277	243.313
76.000	0.006	0.002	3.134	4.277	243.313
77.000	0.006	0.002	3.126	4.278	243.313
78.000	0.006	0.002	3.137	4.278	243.309
79.000	0.006	0.002	3.141	4.278	243.309
80.000	0.006	0.002	3.127	4.278	243.303
81.000	0.006	0.002	3.114	4.277	243.303
82.000	0.006	0.002	3.119	4.277	243.301
83.000	0.006	0.002	3.143	4.277	243.301
84.000	0.006	0.002	3.106	4.277	243.297
85.000	0.006	0.002	3.118	4.277	243.297
86.000	0.006	0.002	3.176	4.277	243.290
87.000	0.006	0.002	3.156	4.276	243.290
88.000	0.006	0.002	3.144	4.276	243.288
89.000	0.006	0.002	3.146	4.276	243.288
90.000	0.006	0.002	3.141	4.276	243.283
91.000	0.006	0.002	3.110	4.276	243.283
92.000	0.006	0.002	3.122	4.276	243.277
93.000	0.006	0.002	3.135	4.277	243.277
94.000	0.006	0.002	3.142	4.277	243.277
95.000	0.006	0.002	3.125	4.277	243.277
96.000	0.006	0.002	3.125	4.277	243.274
97.000	0.006	0.002	3.141	4.278	243.274
98.000	0.006	0.002	3.105	4.278	243.266
99.000	0.006	0.002	3.127	4.277	243.266
100.000	0.006	0.002	3.126	4.277	243.262
101.000	0.006	0.002	3.147	4.277	243.262
102.000	0.006	0.002	3.122	4.277	243.261
103.000	0.006	0.002	3.134	4.277	243.261
104.000	0.006	0.002	3.163	4.277	243.256
105.000	0.006	0.002	3.131	4.277	243.256
106.000	0.006	0.002	3.139	4.277	243.250
107.000	0.006	0.002	3.144	4.276	243.250
108.000	0.006	0.002	3.152	4.276	243.247
109.000	0.006	0.002	3.119	4.276	243.247
110.000	0.006	0.002	3.127	4.276	243.244
111.000	0.006	0.002	3.129	4.276	243.244
112.000	0.006	0.002	3.110	4.276	243.238
113.000	0.006	0.002	3.114	4.276	243.238
114.000	0.006	0.002	3.134	4.276	243.238
115.000	0.006	0.002	3.140	4.277	243.238
116.000	0.006	0.002	3.144	4.277	243.234
117.000	0.006	0.002	3.149	4.278	243.234
118.000	0.006	0.002	3.132	4.278	243.230
119.000	0.006	0.002	3.124	4.277	243.230
120.000	0.006	0.002	3.152	4.277	243.224
121.000	0.006	0.002	3.151	4.277	243.224
122.000	0.006	0.002	3.155	4.277	243.219
123.000	0.006	0.002	3.145	4.277	243.219
124.000	0.006	0.002	3.157	4.277	243.219
125.000	0.006	0.002	3.132	4.277	243.219
126.000	0.006	0.002	3.127	4.276	243.212
127.000	0.006	0.002	3.129	4.276	243.212
128.000	0.006	0.002	3.136	4.276	243.206
129.000	0.006	0.002	3.129	4.276	243.206
130.000	0.006	0.002	3.117	4.276	243.205
131.000	0.006	0.002	3.156	4.276	243.205
132.000	0.006	0.002	3.141	4.276	243.208
