Index	V	I	R	T_coldhead	T_sample
0.00000	0.00282	0.00100	2.81740	4.46170	6.54460
1.00000	0.00283	0.00100	2.82550	4.46130	6.54460
2.00000	0.00282	0.00100	2.81750	4.46130	6.54450
3.00000	0.00280	0.00100	2.80200	4.46090	6.54450
4.00000	0.00280	0.00100	2.80120	4.46090	6.54430
5.00000	0.00281	0.00100	2.80600	4.46000	6.54430
6.00000	0.00277	0.00100	2.77310	4.46000	6.54470
7.00000	0.00282	0.00100	2.81840	4.45870	6.54470
8.00000	0.00280	0.00099	2.83263	4.45870	6.54560
9.00000	0.00275	0.00100	2.74830	4.45760	6.54560
10.00000	0.00276	0.00100	2.76050	4.45760	6.54660
11.00000	0.00277	0.00100	2.77310	4.45790	6.54660
12.00000	0.00280	0.00100	2.80390	4.45790	6.54740
13.00000	0.00281	0.00100	2.81160	4.45980	6.54740
14.00000	0.00280	0.00100	2.79700	4.45980	6.54690
15.00000	0.00282	0.00100	2.82060	4.46160	6.54690
16.00000	0.00283	0.00100	2.82850	4.46160	6.54620
17.00000	0.00280	0.00100	2.80130	4.46220	6.54620
18.00000	0.00277	0.00100	2.77280	4.46220	6.54550
19.00000	0.00278	0.00100	2.78390	4.46190	6.54550
20.00000	0.00276	0.00100	2.75800	4.46190	6.54480
21.00000	0.00280	0.00100	2.79780	4.46150	6.54480
22.00000	0.00282	0.00100	2.82010	4.46150	6.54460
23.00000	0.00279	0.00100	2.78640	4.46090	6.54460
24.00000	0.00285	0.00100	2.84800	4.46090	6.54480
25.00000	0.00281	0.00100	2.80560	4.46000	6.54480
26.00000	0.00279	0.00099	2.81960	4.46000	6.54530
27.00000	0.00281	0.00100	2.80690	4.45880	6.54530
28.00000	0.00283	0.00100	2.82890	4.45880	6.54600
29.00000	0.00278	0.00100	2.77950	4.45760	6.54600
30.00000	0.00278	0.00100	2.77600	4.45760	6.54670
31.00000	0.00282	0.00099	2.84475	4.45790	6.54670
32.00000	0.00279	0.00100	2.79030	4.45790	6.54650
33.00000	0.00280	0.00100	2.80320	4.45980	6.54650
34.00000	0.00276	0.00100	2.76450	4.45980	6.54600
35.00000	0.00278	0.00100	2.77800	4.46160	6.54600
36.00000	0.00275	0.00100	2.75220	4.46160	6.54540
37.00000	0.00272	0.00100	2.71640	4.46220	6.54540
38.00000	0.00274	0.00099	2.76909	4.46220	6.54460
39.00000	0.00277	0.00100	2.77430	4.46200	6.54460
40.00000	0.00275	0.00100	2.74620	4.46200	6.54400
41.00000	0.00277	0.00100	2.77330	4.46160	6.54400
42.00000	0.00276	0.00100	2.75550	4.46160	6.54410
43.00000	0.00276	0.00100	2.75590	4.46110	6.54410
44.00000	0.00276	0.00100	2.76280	4.46110	6.54380
45.00000	0.00278	0.00100	2.78120	4.46020	6.54380
46.00000	0.00275	0.00100	2.75390	4.46020	6.54380
47.00000	0.00280	0.00100	2.79650	4.45900	6.54380
48.00000	0.00274	0.00100	2.74430	4.45900	6.54550
