Index	V	I	R	T_coldhead	T_sample
0.000	0.077	0.020	3.842	4.277	262.486
1.000	0.077	0.020	3.844	4.277	262.466
2.000	0.077	0.020	3.843	4.277	262.466
3.000	0.077	0.020	3.844	4.277	262.449
4.000	0.077	0.020	3.842	4.277	262.449
5.000	0.077	0.020	3.843	4.277	262.437
6.000	0.077	0.020	3.847	4.278	262.437
7.000	0.077	0.020	3.844	4.279	262.421
8.000	0.077	0.020	3.845	4.279	262.421
9.000	0.077	0.020	3.845	4.278	262.414
10.000	0.077	0.020	3.847	4.278	262.414
11.000	0.077	0.020	3.843	4.278	262.403
12.000	0.077	0.020	3.848	4.278	262.403
13.000	0.077	0.020	3.843	4.278	262.386
14.000	0.077	0.020	3.843	4.278	262.373
15.000	0.077	0.020	3.846	4.278	262.373
16.000	0.077	0.020	3.843	4.278	262.361
17.000	0.077	0.020	3.846	4.277	262.361
18.000	0.077	0.020	3.846	4.277	262.348
19.000	0.077	0.020	3.840	4.277	262.348
20.000	0.077	0.020	3.843	4.277	262.335
21.000	0.077	0.020	3.842	4.277	262.335
22.000	0.077	0.020	3.844	4.277	262.324
23.000	0.077	0.020	3.843	4.277	262.324
24.000	0.077	0.020	3.843	4.278	262.312
25.000	0.077	0.020	3.844	4.278	262.312
26.000	0.077	0.020	3.844	4.279	262.296
27.000	0.077	0.020	3.843	4.279	262.296
28.000	0.077	0.020	3.845	4.278	262.285
29.000	0.077	0.020	3.842	4.278	262.271
30.000	0.077	0.020	3.843	4.278	262.271
31.000	0.077	0.020	3.844	4.278	262.259
32.000	0.077	0.020	3.844	4.278	262.259
33.000	0.077	0.020	3.844	4.278	262.248
34.000	0.077	0.020	3.846	4.278	262.248
35.000	0.077	0.020	3.846	4.277	262.231
36.000	0.077	0.020	3.843	4.277	262.231
37.000	0.077	0.020	3.841	4.277	262.218
38.000	0.077	0.020	3.846	4.277	262.218
39.000	0.077	0.020	3.849	4.277	262.210
40.000	0.077	0.020	3.846	4.277	262.198
41.000	0.077	0.020	3.848	4.277	262.198
42.000	0.077	0.020	3.844	4.277	262.185
43.000	0.077	0.020	3.845	4.278	262.185
44.000	0.077	0.020	3.845	4.278	262.176
45.000	0.077	0.020	3.847	4.278	262.176
46.000	0.077	0.020	3.844	4.278	262.157
47.000	0.077	0.020	3.845	4.278	262.157
48.000	0.077	0.020	3.846	4.278	262.145
49.000	0.077	0.020	3.843	4.278	262.145
50.000	0.077	0.020	3.844	4.278	262.134
51.000	0.077	0.020	3.842	4.278	262.134
52.000	0.077	0.020	3.842	4.278	262.121
53.000	0.077	0.020	3.844	4.278	262.121
54.000	0.077	0.020	3.845	4.277	262.107
55.000	0.077	0.020	3.845	4.277	262.107
56.000	0.077	0.020	3.840	4.277	262.088
57.000	0.077	0.020	3.844	4.277	262.075
58.000	0.077	0.020	3.844	4.277	262.075
59.000	0.077	0.020	3.842	4.277	262.065
60.000	0.077	0.020	3.840	4.277	262.065
61.000	0.077	0.020	3.842	4.277	262.058
62.000	0.077	0.020	3.842	4.278	262.058
63.000	0.077	0.020	3.842	4.278	262.046
64.000	0.077	0.020	3.842	4.278	262.046
65.000	0.077	0.020	3.840	4.278	262.032
66.000	0.077	0.020	3.840	4.278	262.032
67.000	0.077	0.020	3.841	4.278	262.018
68.000	0.077	0.020	3.843	4.278	262.018
69.000	0.077	0.020	3.840	4.278	262.006
70.000	0.077	0.020	3.845	4.278	262.006
71.000	0.077	0.020	3.842	4.277	261.992
72.000	0.077	0.020	3.843	4.277	261.992
73.000	0.077	0.020	3.844	4.277	261.978
74.000	0.077	0.020	3.845	4.277	261.967
75.000	0.077	0.020	3.844	4.277	261.967
76.000	0.077	0.020	3.845	4.277	261.952
77.000	0.077	0.020	3.844	4.277	261.952
78.000	0.077	0.020	3.842	4.277	261.939
79.000	0.077	0.020	3.844	4.277	261.939
80.000	0.077	0.020	3.842	4.277	261.931
81.000	0.077	0.020	3.841	4.278	261.931
82.000	0.077	0.020	3.843	4.278	261.918
83.000	0.077	0.020	3.843	4.278	261.918
84.000	0.077	0.020	3.842	4.278	261.903
85.000	0.077	0.020	3.841	4.278	261.903
86.000	0.077	0.020	3.843	4.278	261.893
87.000	0.077	0.020	3.840	4.278	261.893
88.000	0.077	0.020	3.843	4.278	261.881
89.000	0.077	0.020	3.842	4.278	261.862
90.000	0.077	0.020	3.843	4.277	261.862
91.000	0.077	0.020	3.843	4.277	261.849
92.000	0.077	0.020	3.843	4.277	261.849
93.000	0.077	0.020	3.842	4.277	261.838
94.000	0.077	0.020	3.845	4.277	261.838
95.000	0.077	0.020	3.841	4.277	261.826
96.000	0.077	0.020	3.844	4.277	261.826
97.000	0.077	0.020	3.844	4.277	261.818
98.000	0.077	0.020	3.842	4.277	261.818
