Index	V	I	R	T_coldhead	T_sample
132.000	0.091	0.010	9.125	7.010	9.088
133.000	0.091	0.010	9.142	7.010	9.088
134.000	0.091	0.010	9.147	7.020	9.085
135.000	0.091	0.010	9.144	7.020	9.085
136.000	0.092	0.010	9.154	7.032	9.082
137.000	0.092	0.010	9.163	7.032	9.082
138.000	0.092	0.010	9.170	7.046	9.078
139.000	0.092	0.010	9.166	7.046	9.078
140.000	0.092	0.010	9.180	7.060	9.075
141.000	0.092	0.010	9.188	7.060	9.075
142.000	0.092	0.010	9.195	7.072	9.072
143.000	0.092	0.010	9.198	7.072	9.072
144.000	0.092	0.010	9.206	7.083	9.067
145.000	0.092	0.010	9.202	7.083	9.067
146.000	0.092	0.010	9.202	7.095	9.063
147.000	0.092	0.010	9.220	7.095	9.063
148.000	0.092	0.010	9.225	7.106	9.060
149.000	0.092	0.010	9.235	7.106	9.060
150.000	0.092	0.010	9.237	7.118	9.057
151.000	0.092	0.010	9.244	7.118	9.057
152.000	0.092	0.010	9.241	7.129	9.053
153.000	0.093	0.010	9.251	7.129	9.053
154.000	0.093	0.010	9.259	7.140	9.051
155.000	0.093	0.010	9.265	7.140	9.051
156.000	0.093	0.010	9.272	7.154	9.048
157.000	0.093	0.010	9.299	7.154	9.048
158.000	0.093	0.010	9.309	7.170	9.046
159.000	0.093	0.010	9.317	7.170	9.046
160.000	0.093	0.010	9.330	7.185	9.043
161.000	0.093	0.010	9.333	7.185	9.043
162.000	0.093	0.010	9.345	7.199	9.041
163.000	0.094	0.010	9.356	7.199	9.041
164.000	0.094	0.010	9.359	7.212	9.039
165.000	0.094	0.010	9.364	7.212	9.039
166.000	0.094	0.010	9.374	7.225	9.037
167.000	0.094	0.010	9.385	7.225	9.037
168.000	0.094	0.010	9.398	7.238	9.036
169.000	0.094	0.010	9.406	7.238	9.036
170.000	0.094	0.010	9.402	7.252	9.034
171.000	0.094	0.010	9.413	7.252	9.033
172.000	0.094	0.010	9.430	7.264	9.033
173.000	0.094	0.010	9.424	7.264	9.033
174.000	0.094	0.010	9.419	7.277	9.033
175.000	0.094	0.010	9.438	7.277	9.032
176.000	0.094	0.010	9.436	7.292	9.032
177.000	0.095	0.010	9.450	7.292	9.031
178.000	0.095	0.010	9.455	7.309	9.031
179.000	0.095	0.010	9.470	7.309	9.031
180.000	0.095	0.010	9.474	7.328	9.031
181.000	0.095	0.010	9.474	7.328	9.031
182.000	0.095	0.010	9.479	7.345	9.031
183.000	0.095	0.010	9.503	7.345	9.031
184.000	0.095	0.010	9.510	7.360	9.031
185.000	0.095	0.010	9.523	7.360	9.031
186.000	0.095	0.010	9.520	7.375	9.031
187.000	0.095	0.010	9.537	7.375	9.032
188.000	0.095	0.010	9.539	7.391	9.032
189.000	0.095	0.010	9.548	7.391	9.033
190.000	0.096	0.010	9.550	7.406	9.033
191.000	0.096	0.010	9.552	7.406	9.034
192.000	0.096	0.010	9.557	7.421	9.034
193.000	0.096	0.010	9.553	7.421	9.035
194.000	0.096	0.010	9.556	7.436	9.035
195.000	0.096	0.010	9.554	7.436	9.036
196.000	0.096	0.010	9.563	7.453	9.036
197.000	0.096	0.010	9.577	7.453	9.038
198.000	0.096	0.010	9.584	7.472	9.038
199.000	0.096	0.010	9.599	7.472	9.040
200.000	0.096	0.010	9.604	7.492	9.040
201.000	0.096	0.010	9.600	7.492	9.041
202.000	0.096	0.010	9.614	7.510	9.041
203.000	0.096	0.010	9.616	7.527	9.043
204.000	0.096	0.010	9.612	7.527	9.043
205.000	0.096	0.010	9.625	7.544	9.046
206.000	0.096	0.010	9.606	7.544	9.046
207.000	0.096	0.010	9.620	7.561	9.048
208.000	0.096	0.010	9.630	7.561	9.048
209.000	0.097	0.010	9.655	7.578	9.050
210.000	0.096	0.010	9.647	7.578	9.050
211.000	0.096	0.010	9.647	7.594	9.054
212.000	0.097	0.010	9.653	7.594	9.054
213.000	0.097	0.010	9.660	7.610	9.057
214.000	0.097	0.010	9.657	7.610	9.057
215.000	0.097	0.010	9.679	7.628	9.062
216.000	0.097	0.010	9.670	7.628	9.066
217.000	0.097	0.010	9.677	7.649	9.066
218.000	0.097	0.010	9.704	7.649	9.069
219.000	0.097	0.010	9.707	7.671	9.069
220.000	0.097	0.010	9.715	7.671	9.073
221.000	0.097	0.010	9.712	7.692	9.073
222.000	0.097	0.010	9.729	7.692	9.076
223.000	0.097	0.010	9.736	7.711	9.076
224.000	0.097	0.010	9.732	7.711	9.080
225.000	0.097	0.010	9.742	7.730	9.080
226.000	0.097	0.010	9.732	7.730	9.084
227.000	0.097	0.010	9.744	7.750	9.084
228.000	0.097	0.010	9.758	7.750	9.087
229.000	0.097	0.010	9.749	7.769	9.087
230.000	0.097	0.010	9.750	7.769	9.091
231.000	0.097	0.010	9.749	7.787	9.091
232.000	0.098	0.010	9.751	7.787	9.096
233.000	0.097	0.010	9.748	7.805	9.096
234.000	0.097	0.010	9.745	7.825	9.101
235.000	0.097	0.010	9.744	7.825	9.101
236.000	0.097	0.010	9.745	7.848	9.105
237.000	0.097	0.010	9.726	7.848	9.105
238.000	0.097	0.010	9.749	7.871	9.111
239.000	0.098	0.010	9.754	7.871	9.111
240.000	0.097	0.010	9.743	7.893	9.116
241.000	0.097	0.010	9.748	7.893	9.116
242.000	0.097	0.010	9.747	7.913	9.120
243.000	0.097	0.010	9.745	7.913	9.120
244.000	0.097	0.010	9.743	7.933	9.124
245.000	0.098	0.010	9.758	7.933	9.124
246.000	0.098	0.010	9.744	7.954	9.130
247.000	0.098	0.010	9.753	7.954	9.130
248.000	0.097	0.010	9.750	7.973	9.135
249.000	0.098	0.010	9.753	7.973	9.135
250.000	0.097	0.010	9.742	7.992	9.140
251.000	0.097	0.010	9.745	7.992	9.140
252.000	0.098	0.010	9.753	8.011	9.146
253.000	0.097	0.010	9.750	8.011	9.146
254.000	0.097	0.010	9.743	8.032	9.152
255.000	0.097	0.010	9.737	8.032	9.152
256.000	0.098	0.010	9.758	8.056	9.159
257.000	0.098	0.010	9.754	8.056	9.159
258.000	0.098	0.010	9.757	8.081	9.165
259.000	0.098	0.010	9.757	8.081	9.165
260.000	0.098	0.010	9.751	8.105	9.172
261.000	0.098	0.010	9.757	8.105	9.172
262.000	0.098	0.010	9.752	8.128	9.179
263.000	0.097	0.010	9.742	8.128	9.179
