Index	V	I	R	T_coldhead	T_sample
0.00000	0.00129	0.00100	1.29030	4.43120	6.50140
1.00000	0.00133	0.00100	1.32780	4.43150	6.49960
2.00000	0.00133	0.00100	1.32560	4.43670	6.49620
3.00000	0.00131	0.00100	1.31100	4.46190	6.48000
4.00000	0.00131	0.00101	1.29792	4.52820	6.44130
5.00000	0.00130	0.00100	1.30380	4.64270	6.37430
6.00000	0.00129	0.00100	1.29030	4.80150	6.29770
7.00000	0.00129	0.00100	1.29310	6.72870	6.20280
8.00000	0.00131	0.00101	1.30059	6.80420	6.14860
9.00000	0.00130	0.00100	1.29940	6.94440	6.16410
10.00000	0.00134	0.00100	1.34060	7.14370	6.23660
11.00000	0.00134	0.00100	1.33830	7.38330	6.38410
12.00000	0.00131	0.00100	1.31480	7.65950	6.58990
13.00000	0.00137	0.00100	1.37210	7.97380	6.86230
14.00000	0.00137	0.00100	1.36690	8.32040	7.17520
15.00000	0.00135	0.00100	1.35470	8.69780	7.53820
16.00000	0.00136	0.00100	1.36460	9.10430	7.92610
17.00000	0.00137	0.00100	1.37330	12.92710	8.36590
18.00000	0.00137	0.00100	1.36540	13.05020	8.82460
19.00000	0.00142	0.00100	1.41540	13.24850	9.29550
20.00000	0.00146	0.00100	1.46230	13.50010	9.80740
