Index	V	I	R	T_coldhead	T_sample
0.00000	0.00631	0.00200	3.15435	4.27580	236.59700
1.00000	0.00628	0.00200	3.14075	4.27580	236.56500
2.00000	0.00631	0.00200	3.15565	4.27580	236.55300
3.00000	0.00631	0.00200	3.15265	4.27580	236.52600
4.00000	0.00631	0.00200	3.15580	4.27580	236.50100
5.00000	0.00626	0.00200	3.13040	4.27590	236.47200
6.00000	0.00633	0.00201	3.14950	4.27590	236.45500
7.00000	0.00628	0.00200	3.14170	4.27590	236.42100
8.00000	0.00626	0.00200	3.13010	4.27600	236.40100
9.00000	0.00632	0.00200	3.15815	4.27600	236.38900
10.00000	0.00637	0.00200	3.18720	4.27600	236.35600
11.00000	0.00627	0.00201	3.12060	4.27600	236.34300
12.00000	0.00631	0.00199	3.17166	4.27600	236.31500
13.00000	0.00626	0.00200	3.12870	4.27600	236.29800
14.00000	0.00627	0.00200	3.13705	4.27590	236.27500
15.00000	0.00622	0.00200	3.10915	4.27590	236.25800
16.00000	0.00624	0.00200	3.11755	4.27590	236.23200
17.00000	0.00627	0.00200	3.13475	4.27580	236.21500
18.00000	0.00632	0.00200	3.16175	4.27570	236.19300
19.00000	0.00634	0.00200	3.16940	4.27560	236.16000
20.00000	0.00635	0.00199	3.19000	4.27560	236.14600
21.00000	0.00630	0.00200	3.15005	4.27560	236.12000
22.00000	0.00632	0.00200	3.16135	4.27560	236.09800
23.00000	0.00632	0.00200	3.16150	4.27560	236.07800
24.00000	0.00633	0.00200	3.16510	4.27550	236.05400
25.00000	0.00628	0.00200	3.13855	4.27550	236.03100
26.00000	0.00635	0.00200	3.17480	4.27550	236.02700
27.00000	0.00625	0.00200	3.12390	4.27550	235.99600
28.00000	0.00634	0.00200	3.16850	4.27550	235.95900
29.00000	0.00634	0.00200	3.16785	4.27550	235.94700
30.00000	0.00632	0.00200	3.15975	4.27550	235.91300
31.00000	0.00630	0.00200	3.15170	4.27560	235.89900
32.00000	0.00626	0.00200	3.13160	4.27560	235.87900
33.00000	0.00624	0.00200	3.11800	4.27550	235.87100
34.00000	0.00624	0.00200	3.11975	4.27550	235.83400
35.00000	0.00626	0.00200	3.12940	4.27560	235.81100
36.00000	0.00625	0.00200	3.12565	4.27560	235.78700
37.00000	0.00630	0.00200	3.14785	4.27560	235.77500
38.00000	0.00628	0.00200	3.13760	4.27570	235.74500
39.00000	0.00624	0.00200	3.12130	4.27580	235.72300
40.00000	0.00627	0.00200	3.13300	4.27580	235.71100
41.00000	0.00624	0.00200	3.12215	4.27590	235.68100
