Index	V	I	R	T_coldhead	T_sample
0.00000	0.00144	0.00100	1.44170	4.49200	6.65180
1.00000	0.00145	0.00100	1.44770	4.49220	6.65100
2.00000	0.00148	0.00100	1.48280	4.49270	6.64900
3.00000	0.00147	0.00100	1.46590	4.49360	6.64790
4.00000	0.00147	0.00099	1.48535	4.49510	6.64670
5.00000	0.00143	0.00100	1.43010	4.49730	6.64440
6.00000	0.00143	0.00100	1.42980	4.50020	6.64170
7.00000	0.00148	0.00100	1.47730	4.50390	6.63780
8.00000	0.00146	0.00100	1.46500	4.50860	6.63460
9.00000	0.00147	0.00100	1.47120	4.51450	6.62990
10.00000	0.00147	0.00100	1.47040	4.52150	6.62300
11.00000	0.00150	0.00100	1.49830	4.52980	6.61910
12.00000	0.00146	0.00100	1.45610	4.53950	6.61260
13.00000	0.00148	0.00099	1.49020	4.55030	6.60550
14.00000	0.00147	0.00100	1.46560	4.56260	6.59950
15.00000	0.00148	0.00100	1.47930	4.57600	6.59330
16.00000	0.00145	0.00100	1.45220	4.59060	6.58580
17.00000	0.00145	0.00100	1.44730	4.60630	6.57960
18.00000	0.00147	0.00100	1.47170	4.62370	6.57110
19.00000	0.00149	0.00100	1.48820	4.64290	6.56580
20.00000	0.00146	0.00100	1.46300	4.66400	6.55700
21.00000	0.00144	0.00100	1.44460	4.68720	6.54870
22.00000	0.00143	0.00100	1.42680	4.71390	6.54150
23.00000	0.00149	0.00100	1.49300	4.74410	6.53280
24.00000	0.00148	0.00100	1.48100	4.77710	6.52240
25.00000	0.00147	0.00100	1.47420	4.81250	6.49910
26.00000	0.00147	0.00100	1.46540	4.84990	6.47620
27.00000	0.00145	0.00100	1.44750	4.88970	6.45320
28.00000	0.00146	0.00100	1.45620	4.93150	6.42920
29.00000	0.00144	0.00100	1.43880	4.97520	6.40620
30.00000	0.00145	0.00100	1.45150	5.02390	6.38530
31.00000	0.00142	0.00100	1.42210	5.07440	6.36500
32.00000	0.00144	0.00100	1.43940	5.12540	6.34960
