306.292	9826.090
306.318	9826.250
306.316	9825.660
306.320	9827.050
306.319	9826.469
306.325	9826.200
306.335	9824.510
306.321	9824.620
306.321	9825.960
306.315	9825.971
306.322	9825.590
306.327	9826.310
306.328	9824.959
306.326	9826.410
306.321	9825.630
306.340	9825.040
306.336	9826.290
306.342	9867.442
306.337	9822.377
306.352	9916.022
306.364	9906.270
306.385	9908.540
306.403	9949.560
306.396	9817.721
306.394	2065.123
306.372	2619.184
306.364	0.078
306.362	7519.723
306.370	7595.266
307.848	6289.461
307.723	4547.100
307.606	4551.685
307.500	4547.202
