307.257	3061.210
307.248	3060.987
307.251	3060.500
307.247	3060.763
307.246	3061.113
307.248	3061.300
307.248	3061.250
307.257	3060.753
307.252	3060.373
307.252	3060.540
307.252	3060.410
307.253	3060.410
307.250	3060.960
307.247	3061.263
307.255	3060.503
307.252	3060.350
307.250	3060.783
307.245	3060.720
307.251	3060.940
307.248	3061.007
307.243	3060.897
307.253	3060.720
307.243	3060.963
307.248	3060.640
307.248	3061.307
307.247	3061.420
307.246	3060.753
307.244	3060.380
307.251	3061.053
307.239	7825
307.241	3060.747
307.241	3061.300
307.237	3060.650
307.236	3060.927
307.243	3060.820
307.241	3060.730
307.241	3061.040
307.243	3060.827
307.237	3061.303
307.240	3060.944
307.245	3060.710
307.241	3061.277
307.244	9899.000
307.246	3061.420
307.242	3061.157
307.243	3060.360
307.241	3061.280
307.237	3061.290
307.242	3060.850
307.238	9899.000
307.243	3060.380
307.241	3061.213
